Tag,出现次数,中文描述
tv_star_dubbing_performance,1,tv star dubing 性能
type_of_public_presentation,3,类型( P)
united_nations_member_state,13,统一( N) 成员 状态
verifiable_statement_author,1,可核查的语句  作者
vocabulary_equivalent_topic,361,词汇表 等同 主题
vocal_contribution_category,2,声效 贡献 类别
vocal_recording_contributor,1,声优 录音 贡献者
x2008_presidential_election,16,x2008 总统选举 选举
x7th_grade_dance_circa_1985,9,x7th 级别 舞蹈 简历 1985
arabic_language_media_source,1,阿拉伯语   语言  媒体  来源
audio_equipment_manufacturer,4,音频 设备 制造商
bad_people_who_ran_countries,5,坏  人  兰  国家
bbc_natural_history_category,4,bbc 自然 历史 类
beauty_school_field_of_study,3,美丽  学校  田  学习
breakfast_cereal_box_feature,2,早餐   cereal box feature
completer_of_unfinished_work,3,完成者 of 未完成 工作
condition_prevention_factors,21,条件  预防  因素
congressional_voting_records,2,国会( V)
cryptid_observation_location,16,密码( O)
database_financial_supporter,4,数据库( F)
film_company_role_or_service,5,电影 公司 角色 或服务
government_agencies_affected,5,政府( A)
hybrid_parent_classification,3,混合  父母  分类
infrastructural_municipality,8,基础设施-城市
media_genre_equivalent_topic,2,介质 流派 等效 主题
medical_condition_in_fiction,38,医疗条件   虚构
military_resource_in_fiction,1,军事( R)
new_zealand_regional_council,1,新建 zealand regional council
olympic_torch_relay_location,6,奥林匹克 torch relay 位置
organism_classification_rank,5,有机体分类  排序
organization_committee_title,7,组织 委员会 标题
permaculture_element_product,2,永久栽培 元素 产品
pinball_machine_manufacturer,4,弹球 机器 制造商
political_donation_recipient,1,政治捐助 接受方
school_sports_team_extension,2,学校 体育 团队 扩展
sexually_transmitted_disease,3,性传染  疾病
sports_team_manager_position,2,运动   团队   管理   位置
subject_of_strange_ebay_item,1,名称( S)
thoroughbred_racehorse_color,2,纯种马  颜色
thoroughbred_racehorse_owner,4,纯种马( R)
type_of_injury_causing_event,2,类型 伤害 导致事件
type_of_movie_theatre_cinema,3,类型( M)
uk_non_metropolitan_district,28,uk not metropolitan district (中文(简体) ).
verifiable_statement_subject,1,可核实的语句  主题
x2010fifaworldcupsouthafrica,166,x2010fifaworldcup 南部非洲
administrative_division_extra,6,行政区划 外部
architectural_structure_owner,148,架构 结构 所有者
award_presenting_organization,72,授予 提交 组织
comic_book_fictional_universe,4,漫画 书 小说 单曲
educational_institution_extra,307,教育   机构  外部
event_presenting_organisation,2,事件  介绍  组织
fictional_spacecraft_designer,1,虚构   航天器  设计器
geographical_feature_category,16,地理   地貌  类别
library_classification_system,1,库 分类 系统
medicalchinesetermswithpinyin,15,使用pinyin的医学术语
military_commander_in_fiction,2,军事   命令器  虚构
military_unit_place_of_origin,48,军事 单位 地点 原产地
mineralwaterandmineralsprings,16,矿泉水
mobile_phone_operating_system,2,移动 手机 操作 系统
new_zealand_unitary_authority,1,新泽地语  统一处理器  权威
olympic_participating_country,220,奥林匹克  参加  国家
personal_film_appearance_type,2,个人  电影  出现  类型
programming_language_designer,4,编程  语言  设计器
programming_language_paradigm,6,编程  语言  参数
province_traditional_eighteen,14,省   传统 十八省
science_or_technology_company,6,科学 或技术 公司
special_administrative_region,2,区域
special_collections_libraries,1,特殊( C)
special_film_performance_type,6,特殊  film 性能 类型
theater_production_staff_role,17,剧场 制作 工作人员 角色
theearlytravellersandvoyagers,4,早期旅行家们
thoroughbred_racehorse_origin,17,纯种马( R)
type_of_criminal_organization,2,类型 犯罪 组织
x19thcenturyprisonphotography,1,x19世纪监狱摄影
computer_game_engine_developer,9,计算机  game engine developer
counties_parishes_and_boroughs,11,县( parishes  and boroughs)
cultural_reference_destination,1,语法
dictionaryofoccupationaltitles,3,职业名称词典
educational_institution_campus,669,教育 机构 校园
fictional_organization_founder,2,虚构组织 创建者
fictional_settings_real_places,6,虚构  设置  真实  位置
french_travellers_and_voyagers,1,法国语   旅行者  和   流浪者
government_position_held_extra,8,政府( P)
highschoolmusical3nosanneslyce,4,高中音乐3nosanslyce
internet_video_production_role,1,互联网 视频 生产 作用
location_of_biosafety_facility,18,地点 生物安全 设施
nfl_draft_diamond_in_the_rough,1,nfl draft diamond in the rough (中文(简体) ).
obsessive_compulsive_celebrity,21,强迫性   强制性   名人
oscar_winner_who_refused_award,2,oscar winner  who  refused Award (英语).
owner_of_intellectual_property,2,拥有者( O)
pipeline_transported_substance,1,管道 运输 物质
professional_wrestling_manager,1,职业( W)
programming_language_developer,5,编程  语言  开发者
thoroughbred_racehorse_breeder,2,纯种马  种族  繁殖器
tv_regular_personal_appearance,2,tv 正则 个人 出现
type_of_law_enforcement_agency,1,类型 法律 执法 机构
type_of_planetographic_feature,3,类型( O)
virtualheliosphericobservatory,3,虚拟地层观测站
asce_wonder_of_the_modern_world,2,ace wonder of the 现代 世界
berlininternationalfilmfestival,295,国际电影节
british_travellers_and_voyagers,1,英国语   旅行者  和   流浪者
entity_appearing_in_media_asset,4,实体   出现在  介质  资产
entity_used_in_trade_statistics,1,实体  已使用  贸易  统计
hall_of_fame_induction_category,2,图标( F):
knowledge_worker_practice_scope,1,知识   工作者  实践  范围
location_represented_in_fiction,3,位置  代表  虚构
manufactured_component_category,1,已制造的   组件  类别
moscowinternationalfilmfestival,17,国际电影节
multimedia_performance_director,1,多媒体  性能  导演
things_i_wish_i_knew_more_about,3,东西 i wish i knew more  about
traffic_survey_vehicle_category,1,流量 调查 车辆 类别
type_of_law_enforcement_officer,1,类型 法律 执法 官员
veniceinternationalfilmfestival,12,国际电影节
x2010_world_cup_spot_allocation,2,x2010 world cup spot 分配
cn_special_administrative_region,2,cn 特别 行政 区域
computer_consulting_service_type,1,计算机 咨询 服务 类型
fictional_universe_with_triggers,1,虚构的  单向  有  触发
impersonated_fictional_character,1,冒充 虚构 字符
lighthouse_construction_material,1,灯塔 建筑 材料
locarnointernationalfilmfestival,3,国际电影节
movies_featuring_wham_o_products,1,电影 featuring wham o 产品
nascar_racing_organization_owner,1,nascar racing organization 拥有者
near_earth_object_classification,1,临近( E)
nfl_teams_that_have_moved_cities,8,nfl 队 有 移动 城市
notable_author_of_a_lit_movement,26,注意( A)
searchengineoptimizationprovider,1,搜索引擎优化提供者
victoria_s_secret_fashion_models,8,胜利 s secret 时尚 模型
centrally_controlled_municipality,2,中央控制 市政府
computer_game_distribution_system,2,计算机  game  分布  系统
constitutional_amendment_proposer,2,宪法修正  提案
disney_product_distribution_venue,4,diney 产物 分发 收益
governing_body_of_protected_sites,9,规范 body of 受保护 sites
political_rebellion_or_revolution,2,政治 叛乱 或 革命
religious_leadership_jurisdiction,14,宗教 领导 管辖权
religious_organization_leadership,1,宗教组织 领导权
shanghaiinternationalfilmfestival,31,上海国际电影节
symbol_of_administrative_division,4,符号  行政区划
tw_direct_controlled_municipality,2,tw 直接 控制 市
capital_of_administrative_division,636,首府 行政区划 
chivalric_title_gender_equivalency,1,骑士 标题 性别 等效
computationalscienceandengineering,4,计算科学与工程
constitutional_convention_delegate,2,宪法( C)
edinburghinternationalfilmfestival,6,国际电影节
gender_or_age_specific_animal_name,1,性别 或年龄 特定 动物 名称
melbourneinternationalfilmfestival,27,国际电影节
person_or_entity_appearing_in_film,2933,个人 或实体 出现 在 电影
public_figure_on_medical_treatment,3,公立 图解 就诊 医疗 治疗
test_match_special_commentary_role,1,测试  match  special commentary 作用
thelastconfessionofalexanderpearce,5,最后的告白 Alexanderpearce
educational_institutions_in_ireland,1,教育   机构  内地
location_on_top_of_something_buried,2,位置( O)
multimedia_musical_performance_type,1,多媒体 音乐 性能 类型
national_concrete_canoe_competition,14,国家( C)
person_who_died_of_an_unusual_death,2,死亡时间( W)
cedam_wonder_of_the_underwater_world,1,(原始内容存档于2018-09-21) (英语). chedam wonder of the underwater world
karlovyvaryinternationalfilmfestival,117,卡洛维里国际电影节
national_basketball_association_team,30,国家 篮球 协会 团队
natural_or_cultural_site_designation,5,自然 或 文化 场地 设计
special_music_video_performance_type,3,特殊 音乐 视频 性能 类型
vn_centrally_controlled_municipality,2,vn 中央控制 市政府
former_british_colonies_and_dominions,31,前   英国   殖民地   和   殖民地
hotels_that_have_been_reviewed_online,1,酒店   有   been  reviewed  online
monthly_calendar_event_early_mid_late,2,月表  活动  早期  中间  晚期
notable_person_with_medical_condition,231,注意( P)
person_with_alleged_paranormal_powers,1,带有 据称 超自然 力量的人物
previous_organism_classification_rank,2,前一个组织  分类  排序
road_bicycling_race_abandonment_cause,1,road bicycling race  absendonment cause (英语:
football_tournament_participating_team,1,足球  球队  参赛  团队
application_related_to_faceted_browsing,1,应用程序  关联  到  面部  浏览
celestial_object_with_coordinate_system,5,天体  带  坐标  系统
former_dutch_colonies_and_protectorates,3,前   荷兰语   殖民地   和   保护
natural_or_cultural_preservation_agency,4,自然 或 文化 保护 机构
former_danish_colonies_and_protectorates,2,前   丹麦语   殖民地   保护国
star_shaped_cities_and_citadels_of_italy,1,恒星  形状  城市  和  citadels of italy
environmental_modelling_language_platform,2,环境 建模 语言 平台
star_shaped_cities_and_citadels_in_france,2,恒星 形状 城市 和 citadels in france
departamentodecciadelauniversidaddesevilla,1,大学教育
star_shaped_cities_and_citadels_in_austria,1,恒星  形状  城市  和  citadels  in  austria
star_shaped_cities_and_citadels_in_belgium,1,恒星 形状 城市 和 citadels in belgium
star_shaped_cities_and_citadels_in_denmark,1,恒星 形状 城市 和 citadels in denmark
star_shaped_cities_and_citadels_in_germany,14,恒星 形状 城市 和 citadels in germany
star_shaped_cities_and_citadels_in_holland,1,恒星  形状  城市  和  citadels  in holland
united_states_federal_executive_department,4,联合州 联邦州 行政部门
morstministryofresearchscienceandtechnology,1,科学研究和技术部
mineral_water_and_mineral_springs_in_germany,2,矿泉水 和 矿泉水  in germany
mineral_water_and_mineral_springs_in_the_usa,4,矿泉水 和 矿泉水 在 苏萨
writersvalleyblogsfreewebsitessocialnetworks,1,作家valleyblogsfreewebsitessocial网络
star_shaped_cities_and_citadels_in_switzerland,1,恒星  形状  城市  和  citadels in switzerland
types_associated_with_things_you_might_link_to,1,类型  关联  与  things  you  might link  to
annettestrauchculturalanthropologistsocialmedia,1,社会媒体
best_college_football_program_after_world_war_2,1,最佳 大学 脚球 程序 after world war 2
x2011internationalyearforpeopleofafricandescent,10,x2011 非洲人民国际年
it_may_lubricate_but_you_are_likely_to_regret_it,1,它可以  may lubrate 但 你 可能  regret it
former_and_current_norwegian_overseas_territories,1,前 和 当前 北纬 海外 领土
independent_agency_of_the_united_states_government,3,独立机构( O)
organization_registration_classification_by_country,2,组织 注册 分类 按国家
existing_british_colonies_dominions_and_protectorates,8,已存在的   英国  殖民地  居多  和保护
mineral_water_and_mineral_springs_in_england_and_wales,2,矿山 水上 矿山 泉水 in england 和 wales
disease_caused_by_assassination_in_ways_which_appear_natural,5,疾病  导致  by  暗杀  在  ways  which   appear  natural
http_www_youtube_com_watch_feature_player_embedded_v_awxa4fxnufu,10,http www youtube com watch feature player embeded v awxa4fxnufu(英语:
